,Danish,English,Plural
0,vær hilset,greetings,vær hilset
1,at hedde,"called(myself, item)",hedder
2,hvad,what,hvad
3,dejligt,nice,dejligte
4,farvel,goodbye,farvel
5,senere,later,senere
6,tillykke,congrats,tillykke
7,tak,thank you,tak
8,mange,many (items),mange
9,en kafe,coffee,kafer
10,et vand,water,vand
11,en øl,beer,øl
12,en farve,color,farver
13,blå,blue,blåt
14,rød,red,rødt
15,brun,brown,brunt
16,lilla,purple,lilla
17,orange,orange,oranget
18,et bord,table,borde
19,en kuglepen,pen,kuglepenne
20,et æg,egg,æg
21,en kylling,chicken,høns
22,en fisk,fish,fisk
23,en grøntsag,vegetable,grøntsager
24,en salat,lettuce,salat
25,et løg,onion,løg
26,et hvidløg,garlic,hvidløg
27,en tomat,tomato,tomater
28,en frugt,fruit,frugter
29,et æble,apple,æbler
30,en banan,banana,bananer
31,en drue,grape,druer
32,en te,tea,te
33,en honning,honey,honning
34,med,with,med
35,sødemiddel,sweetener,sødemiddel
36,en hund,dog,hunde
37,en fugl,bird,fugle
38,en elefant,elephant,elefanter
39,en hest,horse,heste
40,en tiger,tiger,tigre
41,en skildpadde,turtle,skildpadder
42,en gris,pig,grise
43,en ko,cow,køer
44,et får,sheep,får
45,en and,duck,ænder
46,at løb,to run,løber
47,at hoppe,to jump,hopper
48,en øvelse,excersise,øvelser
49,en genemgang,review,genemganger
50,en lektion,lesson,lektioner
51,hyggeligt,cozy,hyggeligte
52,en rygsæk,backpack,rygsække
53,en dør,door,døre
54,et bestik,cutlery,bestiker
55,en gaffel,fork,gafler
56,en plade,plate,plader
57,en skål,bowl,skåle
58,at behøve,to need,behøver
59,at danse,dance,danser
60,at køre,ride / drive,kører
61,at spille,play,spiller
62,at svede,sweat,sveder
63,en uge,week,uger
64,en måned,month,måneder
65,en år ,year,flere år
66,at sikke,confident,sikker
67,glad,happy,glad
68,kold,cold,koldt
69,en kob,cup,kopper
70,en sandwich,sandwich,sandwich
71,en kage,cake,kager
72,et stykke,piece,stykker
73,en læge,doctor,læger
74,klog,smart,klog
75,en lærer,teacher,lærere
76,stor,big,stort
77,et sprog,language,sproge
78,et efternavn,last name,efternavne
79,parvis,in pairs,parvis
80,at sprøge,ask,spørger
81,at indsætte,insert,indsæt
82,mangler,lacking,manglende
83,en ord,word,orde
84,alder,age,alder
85,alene,alone,alene
86,sammen,together,sammen
87,venstre,left,til venstre
88,anden,second floor,anden
89,en kærste,girlfriend(romantic),kærster
90,en veninde,friend(female),veninder
91,gift,married,gift
92,opmærksom,attentative,opmærksomme
93,en stem,voice,stemmer
94,dyrt,expensive,dyrt
95,et værelse,room,værelser
96,et træ,tree,træer
97,en is,ice / icecream,is
98,en pære,pear,pærer
99,ung,young,ung
100,en dreng,boy,drenge
101,en bil,car,biler
102,et barn,child,børn
103,en risiko,risk,risici
104,en forælder,parent,forældre
105,en mor,mother,mødre
106,en bror,brother,brødre
107,en søskende,sibling,søskende
108,en bedstemor,grandmother,bedstemødre
109,en bedsteforælder,grandparent,bedsteforældre
110,en fætter,cousin,fætter
111,en søn,son,sønner
112,en datter,daughter,døtre
113,en sønesøn,grandson,sønesøner
114,et barnebarn,grandchild,barnebarner
115,en ægtefælle,spuse,ægtefæller
116,et oldebarn,great grandchild,oldebørn
117,en følelse,emotion,følelser
118,lykkelig,happy,lykkeligt
119,begejstrat,excited,begejstrat
120,vred,angry,vred
121,bekymret,worried,bekymret
122,keder,bored,keder
123,forviret,confused,forviret
124,forelsket,in love,forelsket
125,skræmt,scared,skræmt
126,frustreret,frustrated,frustraret
127,overrasket,surprised,overrasket
128,ubehageligt,uncomfortable,ukomfortabel
129,flov,embarased,flov
130,genert,shy,genert
131,ængstelig,anxious,ængstelig
132,at føle,to feel ,føler
133,en krop,body,kroper
134,et hoved,head,hoveder
135,et ansigt,face,ansigter
136,et øje,eye,øjne
137,et øre,ear,øre
138,en bryst,breast,bryster
139,en arm,arm,arme
140,et ben,leg,ben
141,en hånd,hand,hænder
142,en finger,finger,fingre
143,en tå,toe,tær
144,en ryg,back,ryg
145,en skulder,shoulder,skuldre
146,en mave,stomach,maver
147,en hofte,hip,hofter
148,et hår,hair,hår
149,et håndled,wrist,håndleder
150,at røre,to touch,rører
151,at tænke,to think,tror
152,nemt,easy,nemt
153,der,there,der
154,et brev,letter,brever
155,en avis,newspaper,aviser
156,en lejlighed,apartment,lejligheder
157,et køkken,kitchen,køkkener
158,træt,tired,træt
159,et køkkenbord,kitchen table,køkkenborde
160,et hæfte,booklet,hæfter
161,en mappe,folder,mapper
162,en lyd,sound,lyder
163,en blyant,pencilhouse,blyanter
164,et ur,clock / wristwatch,ure
165,tiltrækkende,attractive,tiltrækkende
166,tynd,thin / skinny,tynd
167,fed,fat,fed
168,smuk,beautuful,smukke
169,grim,ugly,grim
170,muskuløs,muskular,muskuløs
171,ung,young,ung
172,en personlihed,personality,personliheder
173,venlig,kind,venlig
174,modig,brave,modig
175,følsom,sensitive,følsom
176,forærdelig,horrible,forærdelig
177,lidenskabelig,pasionate,lidenskabelig
178,forsigtig,careful,forsigtig
179,kynisk,cynical,kynisk
180,afhændig,independant,afhændig
181,stærk,strong,stærk
182,sjovt,fun,sjovt
183,sjov,funny,sjov
184,sød,sweet,sød
185,høflig,polite,høflig
186,smart,smart / inteligent,smart
187,gavmild,generous,gavmild
188,interessant,interesting,interessant
189,løgner,liar,løgner
190,doven,lazy,doven
191,magtfulde,powerful,magtfulde
192,positiv,positive,positiv
193,reserveret,reserved,reserveret
194,alvorlig,serious,alvorlig
195,pæn,nice,pæn
196,talentfuld,talented,talentfuld
197,en nevø,nephew,nevøer
198,særlig,particular,særlig
199,et gardin,curtain,gardiner
200,et skab,cabinet,skabe
201,en kam,comb,kamme
202,en pille,pill,piller
203,et viskelæder,eraser,viskelædere
204,en tegnebog,wallet,tegnebøger
205,et væv,tissue,væv
206,briller,glasses,briller
207,en sko,shoe,sko
208,en sok,sock,sokker
209,at savn,to miss,savner
210,kun,only,kun
211,en sygeplejerske,nurse,sygeplejersker
212,et vejr,weather,vejre
213,at brug,to use,bruger
214,at smag,taste,smager
215,en retning,direction,retninger
216,en sted,place,steder
217,en butik,shop,butikker
218,et bibliotek,library,biblioteker
219,en bygning,building,bygninger
220,et kontor,office,kontorer
221,et bussstopested,bus stop,busstoppesteder
222,et posthus,posthouse,posthus
223,en gade,street,gader
224,et hjørne,corner,hjørner
225,ved siden af,next to,ved siden af
226,bag,behind,bag
227,derefter,then,derefter
228,at dreje,to turn,drejer
229,at krydse,cross(street),krydser
230,mellem,between,mellem
231,modsat,opposite,modsat
232,foran,in front of,foran
233,fordi,because,fordi
234,at lave,do / doing,laver
235,at ligge,to lie / lies,ligger
